Date,High,Low,Open,Close,Volume,Adj Close
2016-01-01,169.0,164.5,169.0,167.0,150788.0,164.13182067871094
2016-01-04,169.6999969482422,163.3000030517578,167.0,164.39999389648438,175065.0,161.5764617919922
2016-01-05,179.0,163.3000030517578,166.8000030517578,177.5500030517578,688915.0,174.50062561035156
2016-01-06,178.8000030517578,169.3000030517578,178.0,170.4499969482422,294799.0,167.52255249023438
2016-01-07,176.39999389648438,165.0,168.4499969482422,168.75,423501.0,165.85177612304688
2016-01-08,175.39999389648438,169.60000610351562,169.60000610351562,171.25,166332.0,168.30880737304688
2016-01-11,173.1999969482422,167.1999969482422,171.0,169.60000610351562,129482.0,166.68716430664062
2016-01-12,175.5,163.64999389648438,170.60000610351562,164.8000030517578,416197.0,161.96961975097656
2016-01-13,167.6999969482422,141.39999389648438,165.1999969482422,154.25,1057316.0,151.60081481933594
2016-01-14,156.89999389648438,146.3000030517578,151.89999389648438,151.6999969482422,239077.0,149.0946044921875
2016-01-15,154.39999389648438,137.3000030517578,154.0,139.60000610351562,225405.0,137.20242309570312
2016-01-18,145.9499969482422,130.10000610351562,137.0500030517578,136.39999389648438,370182.0,134.05735778808594
2016-01-19,149.0,136.0500030517578,136.0500030517578,147.60000610351562,301749.0,145.06503295898438
2016-01-20,149.8000030517578,136.0,144.6999969482422,142.89999389648438,575226.0,140.44573974609375
2016-01-21,152.8000030517578,145.0,146.3000030517578,148.4499969482422,375353.0,145.90042114257812
2016-01-22,154.8000030517578,148.14999389648438,149.89999389648438,149.89999389648438,178159.0,147.32550048828125
2016-01-25,156.5,148.89999389648438,150.8000030517578,149.89999389648438,187078.0,147.32550048828125
2016-01-27,153.5,150.0,151.0,151.3000030517578,98372.0,148.7014617919922
2016-01-28,153.3000030517578,141.5,152.35000610351562,143.75,174687.0,141.28114318847656
2016-01-29,145.8000030517578,141.1999969482422,145.0,142.64999389648438,152324.0,140.20001220703125
2016-02-01,147.39999389648438,139.5500030517578,144.0,141.0500030517578,176625.0,138.62750244140625
2016-02-02,143.8000030517578,136.25,140.85000610351562,138.25,170867.0,135.87559509277344
2016-02-03,139.0,133.60000610351562,137.25,135.60000610351562,165034.0,133.27110290527344
2016-02-04,138.8000030517578,126.0,138.0500030517578,128.6999969482422,176623.0,126.4896011352539
2016-02-05,154.39999389648438,125.0,130.25,154.39999389648438,1392145.0,151.74822998046875
2016-02-08,162.39999389648438,146.0,158.0,156.39999389648438,1380542.0,153.7138671875
2016-02-09,153.6999969482422,140.10000610351562,153.6999969482422,146.39999389648438,1057566.0,143.8856201171875
2016-02-10,147.9499969482422,140.8000030517578,145.8000030517578,143.75,306851.0,141.28114318847656
2016-02-11,146.0500030517578,125.0999984741211,145.0,129.1999969482422,303949.0,126.98102569580078
2016-02-12,135.39999389648438,121.5,133.10000610351562,128.39999389648438,583606.0,126.19477081298828
2016-02-15,144.39999389648438,132.75,132.8000030517578,139.6999969482422,351850.0,137.3007049560547
2016-02-16,143.1999969482422,132.4499969482422,141.60000610351562,134.9499969482422,240609.0,132.63226318359375
2016-02-17,140.0,128.1999969482422,136.5500030517578,136.75,349187.0,134.7008056640625
2016-02-18,142.39999389648438,136.0500030517578,137.25,138.25,275188.0,136.17832946777344
2016-02-19,139.39999389648438,133.5,136.6999969482422,136.5,402852.0,134.4545440673828
2016-02-22,139.39999389648438,136.10000610351562,136.9499969482422,137.39999389648438,103033.0,135.341064453125
2016-02-23,142.89999389648438,135.1999969482422,138.5,137.10000610351562,287811.0,135.04554748535156
2016-02-24,138.0,133.1999969482422,136.39999389648438,135.35000610351562,190349.0,133.32179260253906
2016-02-25,136.8000030517578,131.0500030517578,136.8000030517578,132.89999389648438,135573.0,130.9084930419922
2016-02-26,135.6999969482422,131.0,134.5500030517578,132.39999389648438,124994.0,130.4159698486328
2016-02-29,147.0,129.0500030517578,131.35000610351562,140.9499969482422,323144.0,138.83786010742188
2016-03-01,148.5500030517578,140.0,140.89999389648438,147.25,257628.0,145.04347229003906
2016-03-02,152.14999389648438,147.0,148.39999389648438,148.64999389648438,224135.0,146.4224853515625
2016-03-03,154.4499969482422,146.1999969482422,149.0,152.75,236139.0,150.46104431152344
2016-03-04,160.0,148.3000030517578,152.9499969482422,157.85000610351562,452647.0,155.48463439941406
2016-03-08,160.0,151.0,157.5,154.60000610351562,403982.0,152.2833251953125
2016-03-09,156.0,150.8000030517578,154.8000030517578,153.89999389648438,164997.0,151.59381103515625
2016-03-10,161.89999389648438,153.14999389648438,155.5,156.60000610351562,339367.0,154.2533721923828
2016-03-11,158.35000610351562,153.25,154.39999389648438,154.85000610351562,123214.0,152.5295867919922
2016-03-14,158.89999389648438,154.0,156.1999969482422,154.9499969482422,84540.0,152.62808227539062
2016-03-15,161.0,154.0,155.0,156.75,220226.0,154.401123046875
2016-03-16,159.0,154.0,156.6999969482422,154.75,153533.0,152.4310760498047
2016-03-17,158.0,148.89999389648438,157.0,151.6999969482422,306563.0,149.42678833007812
2016-03-18,156.39999389648438,142.14999389648438,154.6999969482422,143.39999389648438,937740.0,141.25115966796875
2016-03-21,145.0,139.5,143.89999389648438,141.25,225641.0,139.1333770751953
2016-03-22,146.60000610351562,140.5500030517578,140.5500030517578,141.85000610351562,265915.0,139.72438049316406
2016-03-23,147.4499969482422,140.39999389648438,141.89999389648438,144.6999969482422,387118.0,142.53167724609375
2016-03-28,152.89999389648438,141.1999969482422,149.39999389648438,141.9499969482422,740440.0,139.82289123535156
2016-03-29,144.3000030517578,140.25,141.9499969482422,142.5,351177.0,140.36465454101562
2016-03-30,144.60000610351562,142.6999969482422,144.10000610351562,143.10000610351562,266243.0,140.95567321777344
2016-03-31,144.6999969482422,141.0,144.5,142.0500030517578,110789.0,139.92138671875
2016-04-01,146.4499969482422,140.75,142.0500030517578,142.0,197792.0,139.8721466064453
2016-04-04,144.0,140.64999389648438,142.1999969482422,141.75,143687.0,139.62588500976562
2016-04-05,141.39999389648438,137.1999969482422,140.60000610351562,137.8000030517578,191605.0,135.73507690429688
2016-04-06,139.39999389648438,135.0,138.4499969482422,136.5,197940.0,134.4545440673828
2016-04-07,141.39999389648438,132.85000610351562,137.0,136.25,304843.0,134.20828247070312
2016-04-08,138.1999969482422,135.0,135.9499969482422,136.39999389648438,134754.0,134.35604858398438
2016-04-11,139.3000030517578,135.9499969482422,137.0,136.89999389648438,156569.0,134.8485565185547
2016-04-12,138.39999389648438,134.64999389648438,137.0,135.3000030517578,198389.0,133.2725372314453
2016-04-13,137.25,133.5,136.0,134.35000610351562,233484.0,132.33680725097656
2016-04-18,137.8000030517578,135.0,135.1999969482422,136.8000030517578,286190.0,134.75006103515625
2016-04-20,138.39999389648438,132.9499969482422,137.25,133.5500030517578,290987.0,131.5487518310547
2016-04-21,137.0,132.89999389648438,134.1999969482422,134.60000610351562,285874.0,132.58302307128906
2016-04-22,141.0,134.0,134.5,137.3000030517578,612306.0,135.24258422851562
2016-04-25,144.3000030517578,137.3000030517578,138.4499969482422,140.75,787274.0,138.640869140625
2016-04-26,141.5,135.3000030517578,140.39999389648438,137.0500030517578,318209.0,134.99630737304688
2016-04-27,139.6999969482422,135.0,137.0,136.39999389648438,278159.0,134.35604858398438
2016-04-28,139.10000610351562,131.0,137.3000030517578,132.10000610351562,386316.0,130.12049865722656
2016-04-29,133.85000610351562,127.0,132.8000030517578,127.8499984741211,325267.0,125.93416595458984
2016-05-02,131.39999389648438,125.4000015258789,127.69999694824219,128.89999389648438,280605.0,126.96842193603516
2016-05-03,135.85000610351562,128.60000610351562,128.75,134.3000030517578,717667.0,132.28753662109375
2016-05-04,135.75,131.0,134.0,132.14999389648438,315210.0,130.16973876953125
2016-05-05,134.0,131.10000610351562,131.8000030517578,131.6999969482422,133772.0,129.7264862060547
2016-05-06,133.0,129.6999969482422,131.0,130.64999389648438,152583.0,128.6922149658203
2016-05-09,139.39999389648438,131.10000610351562,131.9499969482422,138.14999389648438,554011.0,136.07981872558594
2016-05-10,139.5,134.5,138.0,136.64999389648438,355162.0,134.60231018066406
2016-05-11,148.39999389648438,134.5,134.60000610351562,145.25,1301950.0,143.07345581054688
2016-05-12,153.89999389648438,141.64999389648438,145.0,152.14999389648438,3885035.0,149.87002563476562
2016-05-13,158.89999389648438,149.5,152.0,151.0500030517578,1625270.0,148.78652954101562
2016-05-16,157.1999969482422,147.5500030517578,152.3000030517578,155.39999389648438,896437.0,153.0713348388672
2016-05-17,160.1999969482422,152.0,156.0,157.75,1261683.0,155.3861083984375
2016-05-18,157.8000030517578,153.5,156.85000610351562,154.89999389648438,595240.0,152.57882690429688
2016-05-19,156.25,146.6999969482422,154.89999389648438,148.64999389648438,415247.0,146.4224853515625
2016-05-20,151.0,144.6999969482422,148.5,146.8000030517578,311224.0,144.6002197265625
2016-05-23,150.0,143.6999969482422,148.0,147.75,307675.0,145.5359649658203
2016-05-24,147.3000030517578,144.0,147.3000030517578,145.25,144948.0,143.07345581054688
2016-05-25,152.85000610351562,145.10000610351562,146.10000610351562,151.4499969482422,512895.0,149.18052673339844
2016-05-26,158.0,150.75,150.75,157.0,711769.0,154.64735412597656
2016-05-27,173.6999969482422,155.0,157.0,165.85000610351562,1611771.0,163.36476135253906
2016-05-30,169.85000610351562,161.14999389648438,167.0,165.25,781254.0,162.7737579345703
2016-05-31,165.35000610351562,160.39999389648438,165.0,162.9499969482422,419384.0,160.50820922851562
2016-06-01,174.89999389648438,162.39999389648438,163.0,169.8000030517578,1153028.0,167.25555419921875
2016-06-02,173.4499969482422,166.14999389648438,169.4499969482422,171.9499969482422,807462.0,169.37332153320312
2016-06-03,175.0,164.3000030517578,171.9499969482422,165.8000030517578,657515.0,163.3155059814453
2016-06-06,168.8000030517578,163.0500030517578,166.9499969482422,166.6999969482422,352695.0,164.20201110839844
2016-06-07,173.0,167.5,168.39999389648438,170.5,579279.0,167.945068359375
2016-06-08,179.8000030517578,169.0,171.0,178.6999969482422,1044957.0,176.0221710205078
2016-06-09,179.6999969482422,172.85000610351562,179.39999389648438,174.64999389648438,531434.0,172.0328826904297
2016-06-10,177.5500030517578,169.0500030517578,174.0,170.3000030517578,534398.0,167.74806213378906
2016-06-13,173.60000610351562,165.64999389648438,169.89999389648438,171.5,626301.0,168.9300994873047
2016-06-14,176.5,170.3000030517578,171.0,172.14999389648438,869398.0,169.57032775878906
2016-06-15,175.89999389648438,170.3000030517578,173.4499969482422,171.35000610351562,560399.0,168.78233337402344
2016-06-16,171.25,166.3000030517578,170.8000030517578,167.39999389648438,283314.0,164.89149475097656
2016-06-17,171.3000030517578,165.60000610351562,169.39999389648438,166.39999389648438,264351.0,163.906494140625
2016-06-20,169.10000610351562,163.85000610351562,164.64999389648438,164.89999389648438,338930.0,162.42898559570312
2016-06-21,172.5500030517578,164.5500030517578,165.39999389648438,170.0500030517578,705574.0,167.50181579589844
2016-06-22,174.0,167.0,169.8000030517578,170.5,735792.0,167.945068359375
2016-06-23,172.39999389648438,168.3000030517578,170.14999389648438,171.4499969482422,296803.0,168.88082885742188
2016-06-24,169.89999389648438,150.0,165.0,167.5500030517578,648958.0,165.03927612304688
2016-06-27,174.5,167.0,167.0,172.85000610351562,785224.0,170.25985717773438
2016-06-28,176.1999969482422,171.0,171.9499969482422,171.9499969482422,590498.0,169.37332153320312
2016-06-29,175.39999389648438,170.64999389648438,172.25,172.10000610351562,498574.0,169.52110290527344
2016-06-30,181.5,171.5,172.39999389648438,175.64999389648438,1080427.0,173.01791381835938
2016-07-01,179.39999389648438,174.14999389648438,176.39999389648438,177.9499969482422,471753.0,175.28343200683594
2016-07-04,182.0,177.39999389648438,177.5,180.5500030517578,686347.0,177.84446716308594
2016-07-05,188.8000030517578,179.3000030517578,179.85000610351562,185.39999389648438,1347423.0,182.62179565429688
2016-07-07,189.6999969482422,182.10000610351562,186.39999389648438,183.5500030517578,429121.0,180.79953002929688
2016-07-08,184.39999389648438,177.0,183.1999969482422,177.8000030517578,282126.0,175.13568115234375
2016-07-11,183.75,170.5,178.8000030517578,176.39999389648438,395792.0,173.7566375732422
2016-07-12,180.0,171.10000610351562,176.8000030517578,173.25,242819.0,170.65386962890625
2016-07-13,178.39999389648438,170.3000030517578,173.0,174.0,264686.0,171.39260864257812
2016-07-14,176.8000030517578,172.60000610351562,173.75,173.25,182702.0,170.65386962890625
2016-07-15,175.0,170.5,172.3000030517578,171.8000030517578,195747.0,169.2255859375
2016-07-18,174.0,167.0,172.0,168.35000610351562,172943.0,165.8272705078125
2016-07-19,173.5500030517578,167.75,168.0,172.9499969482422,257817.0,170.35836791992188
2016-07-20,175.8000030517578,172.9499969482422,173.0,174.1999969482422,175151.0,171.589599609375
2016-07-21,175.0,170.14999389648438,175.0,171.8000030517578,173257.0,169.2255859375
2016-07-22,174.14999389648438,170.0,170.0,171.0500030517578,175872.0,168.48683166503906
2016-07-25,176.0,170.14999389648438,171.0,174.5,197737.0,171.88510131835938
2016-07-26,178.0,170.5,175.0,171.5,407852.0,168.9300994873047
2016-07-27,173.4499969482422,170.5,172.39999389648438,172.1999969482422,101720.0,169.6195831298828
2016-07-28,177.0,171.75,172.0,175.25,178767.0,172.62388610839844
2016-07-29,184.3000030517578,176.5,176.5500030517578,182.39999389648438,463470.0,179.66673278808594
2016-08-01,186.60000610351562,179.5,183.0,183.0500030517578,303643.0,180.30699157714844
2016-08-02,183.6999969482422,175.10000610351562,183.0500030517578,176.75,164967.0,174.10140991210938
2016-08-03,182.3000030517578,173.5,176.5,177.85000610351562,241705.0,175.1849365234375
2016-08-04,183.64999389648438,167.0,179.60000610351562,172.25,1328446.0,169.6688690185547
2016-08-05,181.75,172.5,172.5,178.5,376176.0,175.8251953125
2016-08-08,185.5,178.60000610351562,178.85000610351562,181.60000610351562,366226.0,178.8787384033203
2016-08-09,181.60000610351562,176.39999389648438,181.60000610351562,176.9499969482422,169209.0,174.29840087890625
2016-08-10,178.9499969482422,173.0,177.8000030517578,175.0500030517578,173374.0,172.42689514160156
2016-08-11,180.0,173.5,175.0,176.25,140790.0,173.60888671875
2016-08-12,179.39999389648438,173.8000030517578,177.8000030517578,175.25,138436.0,172.62388610839844
2016-08-16,177.14999389648438,172.64999389648438,175.1999969482422,174.0500030517578,274480.0,171.44186401367188
2016-08-17,175.3000030517578,173.25,174.0500030517578,174.25,100417.0,171.63888549804688
2016-08-18,175.60000610351562,172.5,174.85000610351562,173.39999389648438,170548.0,171.19459533691406
2016-08-19,173.5,169.5,173.25,170.0,114429.0,167.83786010742188
2016-08-22,172.60000610351562,167.60000610351562,170.6999969482422,168.14999389648438,129935.0,166.01136779785156
2016-08-23,169.0,163.0,167.5,163.89999389648438,249859.0,161.81539916992188
2016-08-24,166.9499969482422,163.10000610351562,164.0500030517578,163.85000610351562,137908.0,161.7660675048828
2016-08-25,170.89999389648438,164.10000610351562,164.10000610351562,168.5500030517578,217975.0,166.40628051757812
2016-08-26,170.25,166.10000610351562,169.35000610351562,166.89999389648438,101225.0,164.7772674560547
2016-08-29,168.39999389648438,163.8000030517578,166.60000610351562,164.10000610351562,116179.0,162.0128936767578
2016-08-30,167.5,162.85000610351562,165.0,163.89999389648438,170608.0,161.81539916992188
2016-08-31,174.0,163.6999969482422,164.0500030517578,170.14999389648438,374799.0,167.98593139648438
2016-09-01,170.75,164.5,169.5,165.9499969482422,106829.0,163.83935546875
2016-09-02,169.60000610351562,162.35000610351562,167.64999389648438,163.60000610351562,139335.0,161.5192413330078
2016-09-06,171.5,163.5,165.8000030517578,168.1999969482422,161261.0,166.0607147216797
2016-09-07,172.5,166.10000610351562,168.5,167.8000030517578,198017.0,165.66583251953125
2016-09-08,171.5500030517578,165.0,167.0,168.89999389648438,191394.0,166.7518310546875
2016-09-09,169.85000610351562,164.6999969482422,167.35000610351562,165.25,114548.0,163.14825439453125
2016-09-12,164.39999389648438,158.60000610351562,162.60000610351562,159.60000610351562,140085.0,157.5701141357422
2016-09-14,162.0,155.8000030517578,160.3000030517578,157.3000030517578,202235.0,155.2993621826172
2016-09-15,171.35000610351562,155.5500030517578,156.5500030517578,163.8000030517578,395417.0,161.71670532226562
2016-09-16,169.75,163.60000610351562,165.25,167.60000610351562,122596.0,165.46836853027344
2016-09-19,170.0,166.10000610351562,166.5,167.10000610351562,73760.0,164.9747314453125
2016-09-20,168.0,162.5,165.10000610351562,164.35000610351562,60758.0,162.2597198486328
2016-09-21,166.5,159.10000610351562,164.5,163.4499969482422,77644.0,161.3711395263672
2016-09-22,169.0,161.1999969482422,163.60000610351562,162.85000610351562,188256.0,160.77877807617188
2016-09-23,166.0,161.6999969482422,163.3000030517578,164.9499969482422,177894.0,162.85205078125
2016-09-26,168.0,162.25,162.9499969482422,163.8000030517578,131081.0,161.71670532226562
2016-09-27,169.89999389648438,162.60000610351562,162.60000610351562,168.3000030517578,578077.0,166.15948486328125
2016-09-28,172.8000030517578,168.0,168.6999969482422,170.75,531667.0,168.57830810546875
2016-09-29,173.3000030517578,162.0,171.14999389648438,167.1999969482422,383924.0,165.07345581054688
2016-09-30,170.0,165.10000610351562,166.85000610351562,167.35000610351562,76023.0,165.22154235839844
2016-10-03,172.64999389648438,166.5,168.0,170.39999389648438,95988.0,168.23275756835938
2016-10-04,182.0,170.14999389648438,171.0,177.5,836465.0,175.24246215820312
2016-10-05,179.60000610351562,174.0,178.8000030517578,175.39999389648438,116344.0,173.1691436767578
2016-10-06,181.0,173.89999389648438,177.0,175.0,189855.0,172.7742462158203
2016-10-07,176.5,170.1999969482422,175.10000610351562,171.39999389648438,65781.0,169.22003173828125
2016-10-10,175.0,170.89999389648438,172.6999969482422,173.0,60376.0,170.79966735839844
2016-10-13,176.89999389648438,170.1999969482422,172.8000030517578,171.10000610351562,110543.0,168.92385864257812
2016-10-14,177.0,171.0,171.60000610351562,172.9499969482422,59199.0,170.75035095214844
2016-10-17,175.0500030517578,169.5500030517578,172.5,170.9499969482422,58632.0,168.77574157714844
2016-10-18,172.85000610351562,169.0,171.0,170.14999389648438,83286.0,167.98593139648438
2016-10-19,171.89999389648438,168.10000610351562,171.0,169.39999389648438,73197.0,167.24545288085938
2016-10-20,171.39999389648438,166.5,170.0,167.5500030517578,137881.0,165.41900634765625
2016-10-21,171.1999969482422,162.39999389648438,167.0,164.60000610351562,430151.0,162.50653076171875
2016-10-24,166.1999969482422,161.5,165.0,162.0500030517578,84733.0,159.98895263671875
2016-10-25,164.3000030517578,162.5500030517578,163.0,163.3000030517578,31034.0,161.22303771972656
2016-10-26,165.0,160.5,163.0,161.1999969482422,60795.0,159.1497344970703
2016-10-27,165.64999389648438,159.9499969482422,160.0,164.60000610351562,103771.0,162.50653076171875
2016-10-28,165.0,162.10000610351562,164.39999389648438,162.8000030517578,59953.0,160.72943115234375
2016-11-01,164.25,161.0500030517578,163.0500030517578,161.60000610351562,48159.0,159.544677734375
2016-11-02,161.0500030517578,155.1999969482422,161.0500030517578,157.25,60473.0,155.25
2016-11-03,161.0,150.0500030517578,157.64999389648438,150.4499969482422,420467.0,148.53648376464844
2016-11-04,151.25,139.0,148.0500030517578,140.89999389648438,291687.0,139.10794067382812
2016-11-07,148.0,141.60000610351562,143.0500030517578,142.89999389648438,206694.0,141.08248901367188
2016-11-08,146.60000610351562,141.0,144.60000610351562,142.9499969482422,59809.0,141.13186645507812
2016-11-09,143.25,125.0,125.0,142.35000610351562,153948.0,140.5395050048828
2016-11-10,147.8000030517578,140.3000030517578,145.0,140.9499969482422,127622.0,139.15731811523438
2016-11-11,143.8000030517578,135.0,139.0,135.4499969482422,74152.0,133.72726440429688
