Date,High,Low,Open,Close,Volume,Adj Close
2015-01-01,203.5,198.2949981689453,198.2949981689453,202.14999389648438,49380.0,194.77032470703125
2015-01-02,206.89999389648438,201.51499938964844,203.39999389648438,204.4149932861328,1009480.0,196.95263671875
2015-01-05,206.89999389648438,202.97999572753906,204.4149932861328,203.31500244140625,170570.0,195.89280700683594
2015-01-06,202.50999450683594,198.6999969482422,202.5050048828125,199.75,164650.0,192.45794677734375
2015-01-07,201.5,199.75,201.49000549316406,200.4250030517578,433440.0,193.1083221435547
2015-01-08,210.0,206.1999969482422,209.85000610351562,208.19500732421875,404800.0,200.59466552734375
2015-01-09,212.76499938964844,209.67999267578125,210.67999267578125,211.38499450683594,485040.0,203.66819763183594
2015-01-12,227.5,217.6999969482422,220.5,218.88999938964844,2619800.0,210.89923095703125
2015-01-13,224.89999389648438,217.60000610351562,221.5,222.50999450683594,653390.0,214.38710021972656
2015-01-14,227.39500427246094,222.42999267578125,224.88999938964844,224.47500610351562,377570.0,216.28036499023438
2015-01-15,225.39999389648438,220.5,225.39999389648438,223.4149932861328,147530.0,215.25901794433594
2015-01-16,226.97000122070312,222.25,223.0,223.99000549316406,205890.0,215.8130340576172
2015-01-19,227.5,223.52999877929688,224.0,226.2100067138672,206480.0,217.95199584960938
2015-01-20,242.0,225.5050048828125,226.89999389648438,234.44000244140625,756810.0,225.88156127929688
2015-01-21,239.39999389648438,234.5,235.89999389648438,234.8300018310547,1140210.0,226.25733947753906
2015-01-22,240.5,236.125,238.9949951171875,239.14500427246094,538970.0,230.41481018066406
2015-01-23,249.5,239.60000610351562,239.60000610351562,246.6750030517578,1263980.0,237.66990661621094
2015-01-27,250.0,242.5500030517578,248.0500030517578,244.22500610351562,220070.0,235.30935668945312
2015-01-28,248.75,244.0,245.0,245.89500427246094,728660.0,236.91839599609375
2015-01-29,250.77499389648438,246.0,246.5,246.7949981689453,225850.0,237.7855224609375
2015-01-30,250.86000061035156,236.0,250.6999969482422,241.69000244140625,1026950.0,232.86688232421875
2015-02-02,242.5,232.05499267578125,241.69000244140625,233.58999633789062,386980.0,225.06259155273438
2015-02-03,239.39999389648438,233.60000610351562,233.60000610351562,238.9600067138672,432180.0,230.23655700683594
2015-02-04,239.69000244140625,236.5,239.69000244140625,237.36000061035156,115670.0,228.69496154785156
2015-02-05,239.5,237.1999969482422,237.6999969482422,238.0449981689453,197620.0,229.35496520996094
2015-02-06,238.69500732421875,232.74000549316406,237.40499877929688,235.24000549316406,126030.0,226.65237426757812
2015-02-09,235.88999938964844,226.00999450683594,235.24000549316406,234.83999633789062,181680.0,226.2669677734375
2015-02-10,237.1999969482422,230.0,235.0,236.30999755859375,357490.0,227.68328857421875
2015-02-11,239.0,233.0,237.08999633789062,233.5850067138672,35000.0,225.0577850341797
2015-02-12,236.8000030517578,231.5,234.3000030517578,234.2050018310547,110100.0,225.65516662597656
2015-02-13,243.1999969482422,233.5,235.0,241.14500427246094,624530.0,232.341796875
2015-02-16,244.8000030517578,240.39999389648438,241.89999389648438,241.84500122070312,169510.0,233.01625061035156
2015-02-18,244.0,241.0,242.60000610351562,242.14999389648438,414700.0,233.3101043701172
2015-02-19,242.89999389648438,237.89999389648438,242.89999389648438,238.58999633789062,55280.0,229.8800811767578
2015-02-20,240.89999389648438,238.1999969482422,239.39999389648438,239.11500549316406,71020.0,230.38589477539062
2015-02-23,241.0,237.0,238.3000030517578,237.56500244140625,50740.0,228.89247131347656
2015-02-24,238.3000030517578,235.11000061035156,236.8000030517578,236.625,49510.0,227.98681640625
2015-02-25,237.2899932861328,235.10000610351562,236.30499267578125,235.6199951171875,31280.0,227.01849365234375
2015-02-26,236.0050048828125,230.10000610351562,235.67999267578125,231.52000427246094,37490.0,223.0681610107422
2015-02-27,233.88999938964844,231.0,232.3000030517578,232.4199981689453,37700.0,223.93533325195312
2015-03-02,239.0,231.6999969482422,231.6999969482422,236.35000610351562,118200.0,227.7218475341797
2015-03-03,237.1199951171875,232.56500244140625,235.61000061035156,234.8699951171875,112480.0,226.29586791992188
2015-03-04,237.5,232.30499267578125,234.11000061035156,232.72000122070312,95530.0,224.22434997558594
2015-03-05,233.5,228.5,233.5,230.125,133410.0,221.7240753173828
